SpecimenID	ID_Lab	Genus	Species	DM_SP	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017	imputed
101178508	ALR2454	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	1	1	NA	NA	NA	NA	252	45	532	1268	290	206	84	263	237	264	232	1210	259	25	83	762	87	411	110	10941	6	Madagascar dry deciduous forests	FALSE
101178510	ALR2455	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	252	45	532	1268	290	206	84	263	237	264	232	1210	259	25	83	762	87	411	110	10941	6	Madagascar dry deciduous forests	FALSE
101178514	ALR2456	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	252	45	532	1268	290	206	84	263	237	264	232	1214	260	25	83	764	88	412	110	10600	6	Madagascar dry deciduous forests	FALSE
101178691	ALR2457	Dalbergia	abrahamii	NA	Chlorocarpa	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	252	45	532	1268	290	206	84	263	237	264	232	1214	260	25	83	764	88	412	110	10600	6	Madagascar dry deciduous forests	FALSE
101178695	ALR2460	Dalbergia	humbertii	NA	Humbertii	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	253	44	531	1257	290	207	82	264	238	265	233	1317	291	27	86	848	92	444	114	9633	6	Madagascar dry deciduous forests	FALSE
101178697	ALR2461	Dalbergia	hirtipetala	DM_SP01	Chlorocarpa	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	253	44	531	1258	290	207	82	264	238	265	233	1266	281	26	86	818	89	426	109	8141	6	Madagascar dry deciduous forests	FALSE
101181640	ALR2462	Dalbergia	baronii	NA	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	238	37	385	2145	282	185	97	262	216	265	208	2083	300	62	45	874	207	821	328	921	9	Madagascar humid forests	FALSE
101178693	ALR2548	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	252	45	532	1268	290	206	84	263	237	264	232	1214	260	25	83	764	88	412	110	10600	6	Madagascar dry deciduous forests	FALSE
101237164	ALR2550	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	0	1	0	1	182	68	506	2431	243	108	135	211	159	211	146	1571	273	34	67	812	111	812	175	101500	4	Madagascar subhumid forests	FALSE
101237165	ALR2551	Dalbergia	monticola	NA	Monticola	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	0	1	0	1	181	68	506	2428	242	108	135	210	159	210	145	1576	275	34	67	816	112	816	176	102408	4	Madagascar subhumid forests	FALSE
